Yoshimasa Tsuruoka,2:0.0018735300080842412
Pierre Zweigenbaum,2:0.001862678165506896
Dragomir R. Radev,2:0.0018553239389144174
Shan Wang,1:0.0018421235730933898
J. McCarthy,1:0.0018397485117251625
W. Lehnert,1:0.0018397485117251625
Fangfang Feng,1:0.0018397485117251625
D. Fisher,1:0.0018397485117251625
Sebastian Riedel,2:0.0018013203878184916
Juho Heimonen,1:0.0017975808647777952
Takaaki Hasegawa,1:0.0017388045719849887
Simone Paolo Ponzetto and Michael Strube,1:0.0017345940799836513
Claire Nédellec,2:0.001727376498171429
Adam Meyers,1:0.0017229180291797167
Michael Wick,1:0.0016962340882222112
Thomas C. Rindflesch,2:0.0016638749910493711
Michael Schmitz,1:0.0016508298266370747
Mausam,1:0.0016508298266370747
Robert Bart,1:0.0016508298266370747
Kiri Wagstaf,1:0.001645483126848443
Taku Kudo,2:0.0016234715326756996
Kaoru Yamamoto,2:0.0016234715326756996
Seok B. Jang,1:0.0016146030778261143
J. Littman,1:0.0016146030778261143
John PHILLIPS,1:0.0016146030778261143
Anna Rumshisky,1:0.0016146030778261143
Catalina Hallett,1:0.0016069201637804798
Richard Power,1:0.0016069201637804798
Donia Scott,1:0.0016069201637804798
Claudiu Giuliano,1:0.0015897805236966755
Kathleen R. McKeown,1:0.001581565730000924
Christoph Tillmann,1:0.0015801461645769794
Hermann Ney,1:0.0015801461645769794
Pascal Denis,1:0.0015784347185576174
Jason Baldridge,1:0.0015784347185576174
Fernando Pereira,2:0.0015753743832450377
Partha Pratim Talukdar,2:0.0015753743832450377
Burr   Settles,1:0.0015750779751969829
Sabine Bergler,1:0.0015173518803686984
Philip V. Ogren,1:0.0015162252806897008
Lynne Fox,1:0.0015162252806897008
Ben Medlock,1:0.001487565699040159
Jakub Zavrel,1:0.001434618950547591
Hans van Halteren,1:0.001434618950547591
Anette Hulth,1:0.0014146208555549022
Akinori Yonezawa,1:0.001398419000093919
Jesús Peral,1:0.0013951599240819969
Antonio Ferrández,1:0.0013951599240819969
Yoko Mizuta,1:0.0013671915624822498
Andrew Kehler,1:0.0013624402754974121
Peter Haug,1:0.0013520187792117938
Lee Christensen,1:0.0013520187792117938
David Ahn,1:0.0013441062771710388
Ki-Joong Lee,1:0.0013325304530735957
Young-Sook Hwang,1:0.0013325304530735957
Hae-Chang Rim,1:0.0013325304530735957
David Bean,1:0.0013293197742040496
Mary P. Harper,1:0.0013130692967540042
Scott M. Thede,1:0.0013130692967540042
Tommaso Caselli,1:0.0013083022264896499
David Westbrook,1:0.0013016546750317258
Simone Paolo Ponzetto,1:0.0012627102675669339
Noemie Elhadad,1:0.0012619882353558714
Richard Schwartz,1:0.0012387873620982575
Michael Crystal,1:0.0012387873620982575
R. Stone,1:0.0012387873620982575
Heidi Fox,1:0.0012387873620982575
Scott Miller,1:0.0012387873620982575
the Annotation Group,1:0.0012387873620982575
Ralph M. Weischedel,1:0.0012387873620982575
Breck Baldwin,1:0.0012131727872355927
Abdessamad Echihabi,1:0.001201832027514718
Elena Filatova,1:0.0011910217951482647
John Lafferty,1:0.0011904174750580207
Adam Berger,1:0.0011904174750580207
Tong Zhang,1:0.0011691229300319168
Joseph Smarr,1:0.001147235434813945
Eric Bengtson,1:0.0011402325701262068
Graeme Hirst,1:0.0011371071290691085
